objectid,filename,title,creator,date,location,subject,description,format,resolution,physical format,rights
prag001,13387-123076-s2261099adsmagdoucca1902.jpg,"Antonín Dvořák with one of his daughter's, Magdou",,1902 (circa),,"Dvořák, Dvorak, Family","Antonín Dvořák pictured at 60 years old with his 3rd daughter, Magdalena.",image/jpg,986 x 1309,"photograph",CC-BY
prag002,1234-107916-15.jpg,Smetana’s Party,"Dvořák, František–painter",1924,,"Smetana, Fictitious","An Imaginary, post-mortem depiction of a 41 year old Bedřich Smetana playing piano surrounded by friends in a fine hall.",image/jpg,3376 x 2616,oil painting,CC-BY
prag003,13955-124219-am_141.jpg,Death Mask of Bohuslav Martinů,"Hauser, Jacob–photographer",1959,,"Martinů, Martinu, Professional","A death mask of Bohuslav Martinů, made out of gypsum and saved in sculpture-form.",image/jpg,1208 x 1728,sculpture,CC-BY
prag004,13386-123078-s2261103seskladateli1885.jpg,Antonín Dvořák with Czech composers,"Mulač, J.--photographer",1885,"Prague, Czech Republic","Dvořák, Dvorak, Professional","Antonín Dvořák poses for a photograph with fellow Czech composers. Pictured left to right, Antonín Dvořák, Karel Bendl, J.B. Foerster, Jundrich Kaan, Karel Kovaroic, and Zdenek Fibich.",image/jpg,1656 x 1162,"photograph",CC-BY
prag005,13389-123072-s2261089manzeledvorakovi1886.jpg,"Antonín Dvořák with his wife, Anna","Rachota, Ignaz--photographer",1886,"Prague, Czech Republic","Dvořák, Dvorak, Family","Antonín Dvořák pictured in formal attire outdoors with his wife, Anna Čermáková.",image/jpg,722 x 1116,"photograph",CC-BY
prag006,1231-107910-12.jpg,Smetana's last chords,Josef Matthauser--painter,1913,,Smetana,A post mortem oil painting of Bedřich Smetana sitting at his piano in his old age.,image/jpg,1118 x 686,color print based on oil painting,CC-BY
prag007,1236-107920-17.jpg,Bedřich Smetana in miniature,,1880 (circa),,Smetana,A miniature enamel of Bedřich Smetana created in the tumultuous last five years of is life.,image/jpg,1634 x 1762,enamel,CC-BY
prag008,dvorak_1868.jpg,A photograph of a 27 year old Antonín Dvořák,,1868,"Prague, Czech Republic","Dvořák, Dvorak","Antonín Dvořák pictured in 1868, when he was working under the baton of Bedřich Smetana in the newly established Czech Provisional Theatre Orchestra.",image/jpg,1342 x 1897,"photograph",CC-BY
prag009,antonin_dvorak.jpg,A photograph of a 62 year old  Antonín Dvořák,,1904,"Prague, Czech Republic","Dvořák, Dvorak","Antonín Dvořák pictured in 1904, as his health was in decline. He died on May 1st of the same year from heart failure in his home, aged 62.",image/jpg,387 x 508,"photograph",CC-BY
prag010,dvorak_antonin_rodina.jpg,Antonín Dvořák with his family in the United States,,1893,"New York City, United States","Dvořák, Dvorak, Family","Antonín Dvořák with his wife and children soon after arriving in New York, one year before his historic summer-stay in Spillville, Iowa.",image/jpg,295 x 328,"photograph",CC-BY
prag011,bohuslav_martinu_matka_policka.jpg,"Bohuslav Martinů with his mother, Karolina",,1927,"Polička, Czech Republic","Martinů, Martinu, Family","Bohuslav Martinů, home from Paris, visiting his mother, Karolina, in his hometown of Polička, Czechia.",image/jpg,1771 x 1152,"photograph",CC-BY
prag012,bohuslav_and_margrit.jpg,Bohuslav Martinů with pianist Margrit Weber,,1957 (circa),,"Martinů, Martinu, Professional","Bohuslav Martinů poses with the notable pianist Margrit Weber, to whom he dedicated his fifth piano concerto which was premiered in Berlin two years later.",image/jpg,284 x 281,"photograph",CC-BY
prag013,martinu_1943.jpg,Bohuslav Martinů laughing,,1943,"New York City, United States","Martinů, Martinu",Bohuslav Martinů pictured laughing in his second year after moving to the United States because of the Nazi invasion of France,image/jpg,379 x 534,"photograph",CC-BY
prag014,martinu_1897ca.jpg,Bohuslav Martinů playing the violin as a kid,,1896 (circa),"Polička, Czech Republic","Martinů, Martinu","Bohuslav Martinů pictured playing the violin at 6 or 7 years old in his hometown of Polička, Czechia",image/jpg,371 x 537,"photograph",CC-BY
prag015,smetana.jpg,A mid-life picture of Bedřich Smetana,,1878 (circa),"Prague, Czech Republic",Smetana,Bedřich Smetana pictured at 54 years old in Prague. He had lost his hearing 4 years previously and his health was continuing to decline as he worked on Vltava.,image/jpg,250 x 404,"photograph",CC-BY
